location,bhk,total_sqft,bath,balcony
Bommanahalli,2,1205,2,3
Vijayanagar,2,1075,2,2
Bommanahalli,2,930,2,2
Bommanahalli,2,1380,2,1
Bommanahalli,2,1166,2,2
Bommanahalli,2,1050,2,1
Bommanahalli,2,1200,2,2
Bommanahalli,2,1400,3,0
Bommanahalli,2,1451,2,1
Bommanahalli,2,1160,2,2
Bommanahalli,2,1000,2,1
Bommanahalli,2,950,2,1
Vijayanagar,2,1245,2,1
Bommanahalli,2,1145,2,2
Bommanahalli,2,825,2,1
Electronics City,2,1113,2,2
Vijayanagar,2,1460,2,1
Bommanahalli,2,1050,2,1
Bommanahalli,2,1260,2,2
Bommanahalli,2,1208,3,1
Bommanahalli,2,1200,4,1
Vijayanagar,2,1175,2,1
Bommanahalli,2,1185,2,1
Bommanahalli,2,1125,2,2
Bommanahalli,2,1090,2,2
Bommanahalli,2,1060,2,1
Vijayanagar,2,1105,2,1
Bommanahalli,2,985,2,2
Bommanahalli,2,1120,2,2
Bommanahalli,2,1069,2,1
Bommanahalli,2,1194,2,0
Bommanahalli,2,1150,2,3
Vijayanagar,2,1240,2,2
Bommanahalli,2,1419,2,2
Bommanahalli,2,1450,3,2
Bommanahalli,2,1250,2,1
Vijayanagar,2,1400,2,1
Vijayanagar,2,1404,2,1
Bommanahalli,2,1295,2,1
Bommanahalli,2,1346,2,1
Bommanahalli,2,1150,2,2
Bommanahalli,2,1190,2,2
Bommanahalli,2,950,2,1
Electronics City,2,1220,2,1
Bommanahalli,2,850,2,1
Bommanahalli,2,1020,2,2
Bommanahalli,2,1100,2,2
Bommanahalli,2,1150,2,2
Vijayanagar,2,1070,2,1
Vijayanagar,2,900,2,1
Indira Nagar,2,1200,4,1
Bommanahalli,3,1521,3,1
Whitefield,3,1800,2,2
Bommanahalli,3,1540,3,3
Bommanahalli,3,1755,3,1
Bommanahalli,3,1767,3,1
Whitefield,3,1610,3,2
Bommanahalli,3,1760,2,2
Bommanahalli,3,1693,3,3
Bommanahalli,3,1925,3,1
Bommanahalli,3,1724,3,2
Bommanahalli,3,1670,3,1
Whitefield,3,2010,3,2
Bommanahalli,3,1600,2,3
Bommanahalli,3,1569,3,1
Bommanahalli,3,2089,3,2
Bommanahalli,3,1660,2,2
Bommanahalli,3,1665,3,2
Bommanahalli,3,1540,3,2
Bommanahalli,3,1630,2,1
Bommanahalli,3,1640,3,2
Bommanahalli,3,1800,3,3
Electronics City,3,1530,2,1
Bommanahalli,3,1540,2,3
Vijayanagar,3,2061,3,1
Bommanahalli,3,1600,3,2
Bommanahalli,3,1870,3,3
Bommanahalli,3,1535,3,2
Bommanahalli,3,1563,3,1
Bommanahalli,3,1828,3,1
Bommanahalli,3,1612,3,3
Bommanahalli,3,1710,4,2
Bommanahalli,3,1735,3,3
Bommanahalli,3,2050,3,1
Bommanahalli,3,1904,3,1
Bommanahalli,3,2000,3,1
Bommanahalli,3,1550,3,3
Bommanahalli,3,1700,3,2
Bommanahalli,3,2144,3,2
Vijayanagar,3,1704,3,2
Bommanahalli,3,1550,2,3
Bommanahalli,3,1909,3,2
Bommanahalli,3,1595,3,2
Bommanahalli,3,1798,3,2
Bommanahalli,3,1580,3,3
Bommanahalli,3,1787,3,2
Bommanahalli,3,1787,3,2
Bommanahalli,3,2000,4,1
Bommanahalli,3,1900,3,2
Vijayanagar,3,1933,3,1
Vijayanagar,3,1644,3,3
Bommanahalli,3,1577,3,1
Bommanahalli,3,1866,2,2
Bommanahalli,3,1804,3,2
Bommanahalli,3,1868,3,2
Bommanahalli,3,1664,2,3
Bommanahalli,3,2026,3,2
Bommanahalli,3,1762,3,3
Bommanahalli,3,2000,4,0
Bommanahalli,3,1863,3,2
Bommanahalli,3,1847,3,2
Bommanahalli,3,1665,3,2
Bommanahalli,3,1664,4,3
Bommanahalli,3,1850,3,3
Bommanahalli,3,1560,3,3
Bommanahalli,3,1550,3,3
Bommanahalli,3,2390,3,2
Bommanahalli,3,1645,3,2
Bommanahalli,3,2135,3,2
Bommanahalli,3,1600,3,3
Vijayanagar,3,1850,3,1
Bommanahalli,3,1800,3,0
Bommanahalli,3,1508,2,1
Bommanahalli,3,1592,3,2
Bommanahalli,3,1762,3,1
Bommanahalli,3,2024,3,2
Bommanahalli,3,1600,2,1
Bommanahalli,3,1935,3,2
Electronics City,3,1800,3,2
Bommanahalli,3,1801,3,2
Bommanahalli,3,1629,3,2
Vijayanagar,3,1580,2,0
Vijayanagar,3,1826,3,2
Vijayanagar,3,1693,3,3
Bommanahalli,3,1656,2,1
Whitefield,3,1910,3,2
Bommanahalli,3,2390,3,2
Bommanahalli,3,1550,3,3
Vijayanagar,3,1760,3,2
Bommanahalli,3,1991,4,2
Bommanahalli,3,1590,3,2
Bommanahalli,3,1933,3,2
Bommanahalli,3,2150,4,1
Bommanahalli,3,1630,3,2
Bommanahalli,3,1670,2,3
Vijayanagar,3,1750,3,2
Bommanahalli,3,1715,2,2
Bommanahalli,3,1752,3,2
Bommanahalli,3,1650,3,2
Vijayanagar,3,1620,3,2
Bommanahalli,3,1760,2,2
Vijayanagar,3,1800,3,3
Bommanahalli,3,1753,3,2
Bommanahalli,3,1511,3,1
Bommanahalli,3,1545,3,1
Bommanahalli,3,1600,4,1
Bommanahalli,3,1584,3,1
Vijayanagar,3,1595,3,2
Electronics City,3,1599,3,2
Bommanahalli,3,1867,3,1
Bommanahalli,3,2400,4,1
Whitefield,3,1768,3,2
Electronics City,3,1599,3,2
Bommanahalli,3,1600,2,1
Vijayanagar,3,2225,3,1
Bommanahalli,3,1550,3,3
Bommanahalli,3,2100,3,2
Bommanahalli,3,1544,3,1
Bommanahalli,3,1578,3,1
Bommanahalli,3,1709,3,2
Bommanahalli,3,1630,3,2
Vijayanagar,3,2060,3,2
Whitefield,3,1790,3,1
Bommanahalli,3,1920,3,2
Whitefield,3,1720,3,3
Bommanahalli,3,2250,3,2
Bommanahalli,3,1820,2,3
Bommanahalli,3,2378,3,1
Bommanahalli,3,1641,3,2
Bommanahalli,3,1720,3,3
Bommanahalli,3,1702,3,2
Bommanahalli,3,1630,2,2
Bommanahalli,3,2072,3,2
Bommanahalli,3,1640,2,1
Vijayanagar,3,1875,3,2
Bommanahalli,3,1683,3,1
Bommanahalli,3,1515,3,1
Bommanahalli,3,2118,4,2
Vijayanagar,3,2300,3,3
Bommanahalli,3,1750,3,1
Bommanahalli,3,1580,3,3
Bommanahalli,3,1580,3,2
Whitefield,3,1640,4,2
Bommanahalli,3,1570,3,2
Bommanahalli,3,1855,3,1
Bommanahalli,3,1823,3,2
Indira Nagar,3,1590,2,2
Bommanahalli,3,1688,3,1
Bommanahalli,3,2330,3,2
Whitefield,3,2280,4,2
Electronics City,3,2225,4,0
Bommanahalli,3,1750,3,2
Bommanahalli,3,1875,2,2
Bommanahalli,3,1750,3,2
Bommanahalli,3,1779,3,2
Whitefield,3,1650,3,2
Bommanahalli,3,1694,2,2
Bommanahalli,3,2376,3,1
Bommanahalli,3,1975,3,3
Bommanahalli,3,1618,3,3
Bommanahalli,3,2181,3,2
Bommanahalli,3,1556,2,1
Bommanahalli,3,1779,3,2
Bommanahalli,3,1615,3,2
Indira Nagar,3,1602,2,0
Bommanahalli,3,1717,3,3
Bommanahalli,3,2119,4,3
Bommanahalli,3,1566,3,1
Bommanahalli,3,1780,3,1
Vijayanagar,3,1950,4,0
Bommanahalli,3,1695,3,1
Bommanahalli,3,1705,3,2
Bommanahalli,3,1691,3,2
Vijayanagar,3,1630,3,2
Bommanahalli,3,1665,3,2
Bommanahalli,3,1976,3,1
Bommanahalli,3,1853,3,2
Bommanahalli,3,1567,2,2
Bommanahalli,3,1652,3,2
Bommanahalli,3,2072,4,2
Vijayanagar,3,1740,2,1
Bommanahalli,3,1540,2,0
Whitefield,3,1897,3,2
Bommanahalli,3,1575,3,2
Bommanahalli,3,1904,3,2
Whitefield,3,2225,2,1
Bommanahalli,3,1800,3,1
Indira Nagar,3,1710,3,2
Bommanahalli,3,1590,2,1
Bommanahalli,3,2400,2,0
Bommanahalli,3,1554,3,2
Vijayanagar,3,1935,4,2
Bommanahalli,3,1680,3,2
Bommanahalli,3,1799,3,3
Bommanahalli,3,1611,2,2
Bommanahalli,3,1540,3,0
Bommanahalli,3,1639,3,1
Bommanahalli,3,1725,3,3
Bommanahalli,3,1535,3,2
Bommanahalli,3,1825,3,2
Bommanahalli,3,1565,2,2
Bommanahalli,3,1891,3,1
Bommanahalli,3,2113,4,2
Bommanahalli,3,1810,3,2
Indira Nagar,3,1548,3,2
Bommanahalli,3,1611,3,3
Whitefield,3,2268,3,2
Bommanahalli,3,1843,3,2
Bommanahalli,3,1530,2,2
Bommanahalli,3,1800,3,3
Bommanahalli,3,1600,2,2
Bommanahalli,3,1563,3,2
Whitefield,3,1560,2,2
Bommanahalli,3,2169,4,1
Bommanahalli,3,1560,3,2
Vijayanagar,3,1662,3,3
Bommanahalli,3,1580,2,2
Bommanahalli,3,1600,3,3
Bommanahalli,3,1824,3,3
Bommanahalli,3,1561,3,2
Bommanahalli,3,2144,3,2
Bommanahalli,3,1639,3,2
Bommanahalli,3,1575,3,1
Bommanahalli,3,1637,3,3
Bommanahalli,3,1665,3,2
Electronics City,3,1691,2,2
Bommanahalli,3,1920,3,1
Bommanahalli,3,1600,3,2
Bommanahalli,3,1570,3,3
Bommanahalli,3,1865,3,3
Whitefield,3,1985,3,2
Bommanahalli,3,1590,3,3
Bommanahalli,3,1800,3,2
Bommanahalli,3,1520,2,1
Bommanahalli,3,1937,3,2
Bommanahalli,3,1625,2,1
Vijayanagar,3,1523,3,3
Bommanahalli,3,2400,3,2
Vijayanagar,3,1897,3,2
Bommanahalli,3,1875,3,2
Electronics City,3,1620,3,2
Bommanahalli,3,1510,2,1
Bommanahalli,3,1945,3,2
Bommanahalli,3,1535,3,2
Whitefield,3,1697,3,2
Bommanahalli,3,1651,3,3
Bommanahalli,3,1560,3,1
Vijayanagar,3,1680,3,2
Bommanahalli,3,2000,3,2
Bommanahalli,3,1621,4,0
Bommanahalli,3,1617,3,3
Bommanahalli,3,2150,4,1
Bommanahalli,4,2732,4,1
Bommanahalli,4,3300,4,1
Bommanahalli,4,2770,4,2
Bommanahalli,4,2511,3,3
Vijayanagar,4,2502,3,3
Bommanahalli,4,2650,4,2
Bommanahalli,4,3050,5,1
Bommanahalli,4,2795,4,1
Vijayanagar,4,2850,4,1
Bommanahalli,4,2405,4,2
Bommanahalli,4,2420,3,2
Bommanahalli,4,3045,3,2
Bommanahalli,4,3252,5,3
Bommanahalli,4,2483,5,2
Whitefield,4,3252,4,1
Bommanahalli,4,2450,3,0
Vijayanagar,4,3600,4,3
Bommanahalli,4,2805,5,3
Bommanahalli,4,3000,4,1
Bommanahalli,4,2845,5,1
Bommanahalli,4,3450,5,2
Whitefield,4,2500,3,2
Bommanahalli,4,2791,3,1
Bommanahalli,4,3000,5,2
Bommanahalli,4,3800,4,3
Bommanahalli,4,2500,5,2
Bommanahalli,4,3385,5,1
Bommanahalli,4,3205,5,1
Bommanahalli,4,2830,3,3
Bommanahalli,4,3670,4,3
Bommanahalli,4,3761,3,2
Bommanahalli,4,2489,3,1
Bommanahalli,4,2470,5,2
Vijayanagar,4,2825,4,3
Bommanahalli,4,2480,3,1
Bommanahalli,4,3500,5,2
Bommanahalli,4,3235,3,1
Bommanahalli,4,3900,4,2
Bommanahalli,4,2805,4,3
Vijayanagar,4,2557,3,2
Bommanahalli,4,3100,4,1
Bommanahalli,4,3205,5,1
Bommanahalli,4,3095,3,3
Bommanahalli,4,3335,5,2
Bommanahalli,4,3024,5,1
Bommanahalli,4,3596,5,1
Bommanahalli,4,3356,4,1
Bommanahalli,4,3200,4,1
Bommanahalli,4,2900,4,1
Bommanahalli,4,3500,3,3
Bommanahalli,4,3073,5,2
Bommanahalli,4,2900,3,1
Bommanahalli,4,3522,3,2
Bommanahalli,4,2465,5,2
Bommanahalli,4,2790,5,3
Bommanahalli,4,2700,3,1
Bommanahalli,4,2424,3,2
Bommanahalli,4,3516,4,3
Vijayanagar,4,3198,4,3
Bommanahalli,4,2483,5,2
Bommanahalli,4,2500,3,1
Bommanahalli,4,4000,5,1
Bommanahalli,4,2700,4,1
Bommanahalli,4,3000,4,3
Bommanahalli,4,3900,4,3
Bommanahalli,4,2800,2,0
Bommanahalli,4,2780,5,2
Vijayanagar,4,2422,4,2
Bommanahalli,4,2774,4,1
Indira Nagar,4,2800,3,1
Bommanahalli,4,2690,4,3
Whitefield,4,3606,4,2
Bommanahalli,4,2790,4,3
Bommanahalli,4,3675,4,3
Bommanahalli,4,2690,4,3
Bommanahalli,4,2479,3,1
Bommanahalli,4,2475,4,3
Bommanahalli,4,3155,4,2
Bommanahalli,4,2900,4,1
Bommanahalli,4,3951,4,2
Bommanahalli,4,2519,5,2
Bommanahalli,4,2610,3,1
Whitefield,4,3584,4,1
Vijayanagar,4,2800,4,2
Bommanahalli,4,3067,4,2
Bommanahalli,4,3526,4,1
Vijayanagar,4,4000,4,1
Bommanahalli,4,2475,4,3
Vijayanagar,4,3245,4,1
Bommanahalli,4,3025,3,0
Bommanahalli,4,2556,3,2
Bommanahalli,4,3750,3,1
Bommanahalli,4,3500,4,3
Bommanahalli,4,3526,4,1
Bommanahalli,4,2770,3,1
Bommanahalli,4,2650,4,2
Bommanahalli,4,3250,4,3
Bommanahalli,4,2475,4,1
Vijayanagar,4,2503,4,0
Bommanahalli,4,2524,5,2
Bommanahalli,4,3095,3,3
Bommanahalli,4,3600,4,1
Bommanahalli,4,2526,2,2
Bommanahalli,4,4000,5,1
Bommanahalli,4,2720,4,1
Bommanahalli,4,3000,4,2
Bommanahalli,4,3067,4,3
Bommanahalli,4,3024,5,1
Bommanahalli,4,3500,4,2
Bommanahalli,4,3161,4,3
Bommanahalli,4,3366,4,1
Bommanahalli,4,3067,4,1
Bommanahalli,4,2700,4,3
Vijayanagar,4,2401,3,2
Bommanahalli,4,2600,4,1
Bommanahalli,4,2500,4,2
Bommanahalli,4,2849,5,0
Bommanahalli,4,3875,3,2
Whitefield,4,3850,5,1
Bommanahalli,4,2500,5,3
Bommanahalli,4,3100,4,2
Bommanahalli,4,2430,4,3
Bommanahalli,4,3400,5,3
Bommanahalli,4,3596,5,1
Bommanahalli,4,2820,3,1
Vijayanagar,4,3500,4,1
Vijayanagar,4,3960,5,3
Bommanahalli,4,3875,3,2
Vijayanagar,4,2800,3,2
Vijayanagar,4,3250,4,1
Bommanahalli,5,4800,4,1
Whitefield,5,4104,4,2
Bommanahalli,5,5270,4,3
Bommanahalli,5,4239,5,2
Bommanahalli,5,4634,4,3
Bommanahalli,5,4111,4,1
Bommanahalli,5,4750,5,1
Vijayanagar,5,5000,4,3
Bommanahalli,5,4395,4,2
