location,bhk,total_sqft,bath,balcony,price_in_lakhs
Bommanahalli,2,1260,2,1,6739000
Bommanahalli,2,1210,2,1,4598000
Bommanahalli,2,1075,2,1,4500000
Bommanahalli,2,1141,2,2,3855000
Bommanahalli,2,1350,3,0,7700000
Bommanahalli,2,1180,2,2,7834000
Bommanahalli,2,1355,2,2,11500000
Bommanahalli,2,1190,2,2,5700000
Bommanahalli,2,1019,2,2,4985000
Vijayanagar,2,1250,3,2,4000000
Whitefield,2,1140,2,1,5600000
Bommanahalli,2,1083,2,2,6175000
Bommanahalli,2,1240,2,2,6000000
Bommanahalli,2,1230,2,1,4348000
Vijayanagar,2,985,2,1,4039000
Electronics City,2,1125,2,1,3249000
Bommanahalli,2,950,2,1,4400000
Electronics City,2,1090,2,1,2834000
Bommanahalli,2,1033,2,2,2553000
Bommanahalli,2,810,2,2,2450000
Bommanahalli,2,1045,2,0,4500000
Bommanahalli,2,1337,2,1,8200000
Bommanahalli,2,1200,2,2,3200000
Bommanahalli,2,1500,2,3,5400000
Bommanahalli,2,1470,2,2,8200000
Bommanahalli,2,1160,2,2,4061000
Vijayanagar,2,1050,2,1,7100000
Bommanahalli,2,1460,2,1,9000000
Electronics City,2,1094,2,2,4200000
Bommanahalli,2,1153,2,2,5700000
Bommanahalli,2,1325,3,1,5700000
Bommanahalli,2,1202,2,1,4800000
Bommanahalli,2,1202,2,1,5300000
Bommanahalli,2,1200,2,3,6250000
Bommanahalli,2,1020,2,1,5200000
Bommanahalli,2,1185,2,2,4700000
Bommanahalli,2,1235,2,1,5204000
Bommanahalli,2,1077,2,2,3764000
Bommanahalli,2,1415,2,3,6600000
Whitefield,2,805,2,2,3500000
Whitefield,2,1155,2,3,5995000
Bommanahalli,2,1100,2,0,4800000
Bommanahalli,2,1150,2,3,5200000
Vijayanagar,2,1468,2,1,14000000
Bommanahalli,2,1341,2,1,9700000
Indira Nagar,2,1279,2,1,7700000
Bommanahalli,2,1185,2,2,4351000
Bommanahalli,2,1152,2,1,5350000
Bommanahalli,2,1300,2,3,3600000
Vijayanagar,2,1070,2,2,3900000
Bommanahalli,2,1101,2,0,4500000
Electronics City,2,1070,2,1,5500000
Bommanahalli,2,1215,2,1,6700000
Vijayanagar,2,820,2,1,3000000
Bommanahalli,2,1105,2,2,5800000
Bommanahalli,2,1185,2,1,4100000
Bommanahalli,2,1475,3,2,7500000
Bommanahalli,2,1120,2,0,6500000
Bommanahalli,2,1179,2,1,6602000
Bommanahalli,2,1296,2,2,8300000
Bommanahalli,2,1275,2,2,5200000
Bommanahalli,2,1400,2,2,7700000
Bommanahalli,2,1222,2,1,6300000
Electronics City,2,940,2,1,4100000
Bommanahalli,2,1185,2,2,4260000
Bommanahalli,2,1056,2,1,6100000
Vijayanagar,2,1100,2,0,4600000
Vijayanagar,2,920,2,1,4000000
Bommanahalli,2,1176,2,0,6200000
Bommanahalli,2,1352,3,0,13500000
Vijayanagar,2,1246,2,1,6730000
Vijayanagar,2,1141,2,1,4279000
Bommanahalli,2,1157,2,1,8400000
Bommanahalli,2,1025,2,2,2768000
Bommanahalli,2,1349,2,1,9800000
Electronics City,2,1320,2,1,3813000
Bommanahalli,2,1091,2,1,3490000
Vijayanagar,2,918,2,1,5049000
Bommanahalli,2,1375,3,2,7500000
Whitefield,2,1447,2,1,8300000
Bommanahalli,2,1114,2,1,3900000
Vijayanagar,2,1450,2,1,10000000
Bommanahalli,2,1022,2,2,4000000
Bommanahalli,2,1000,2,2,4500000
Electronics City,2,1128,2,1,6875000
Bommanahalli,2,1180,2,2,5700000
Bommanahalli,2,1339,2,3,7500000
Vijayanagar,2,1400,2,3,5500000
Vijayanagar,2,1040,2,1,3952000
Bommanahalli,2,1198,2,2,5800000
Bommanahalli,2,1075,3,2,3600000
Vijayanagar,2,1240,3,2,4350000
Bommanahalli,2,1142,2,2,7000000
Bommanahalli,2,1090,2,1,2724000
Electronics City,2,1175,2,2,5147000
Bommanahalli,2,1200,2,2,5200000
Bommanahalli,2,995,2,1,4100000
Bommanahalli,2,884,2,1,4110000
Vijayanagar,2,1170,2,2,5700000
Bommanahalli,2,1225,2,1,4655000
Electronics City,2,1342,2,1,7330000
Bommanahalli,2,1345,2,1,6700000
Bommanahalli,2,1320,3,0,6500000
Bommanahalli,2,1140,2,1,4939000
Bommanahalli,2,1300,2,1,5000000
Electronics City,2,1360,2,1,7100000
Bommanahalli,2,1145,2,2,6000000
Bommanahalli,2,1278,2,2,9500000
Bommanahalli,2,1100,3,2,5800000
Bommanahalli,2,1015,2,2,2588000
Bommanahalli,2,1356,2,3,6600000
Bommanahalli,2,823,2,1,2800000
Bommanahalli,2,1050,2,0,3700000
Bommanahalli,2,1180,2,1,6900000
Whitefield,2,1116,2,3,5191000
Vijayanagar,2,1070,2,1,4279000
Bommanahalli,2,1385,2,3,8000000
Bommanahalli,2,1005,2,1,5578000
Bommanahalli,2,975,2,1,6500000
Bommanahalli,2,1174,2,1,6900000
Bommanahalli,2,1250,2,0,20000000
Bommanahalli,2,918,2,2,5200000
Bommanahalli,2,1250,2,3,5200000
Bommanahalli,2,1170,2,3,5300000
Bommanahalli,2,1082,2,1,5750000
Bommanahalli,2,1001,2,2,3303000
Bommanahalli,2,1045,2,1,9889000
Bommanahalli,2,1019,2,2,4986000
Bommanahalli,2,1135,2,2,3973000
Bommanahalli,2,1047,2,1,8200000
Bommanahalli,2,1282,2,2,8700000
Bommanahalli,2,1020,2,1,4590000
Whitefield,2,1495,2,1,7950000
Bommanahalli,2,1500,2,2,9500000
Bommanahalli,2,1303,2,2,5579000
Bommanahalli,2,1005,1,1,11000000
Bommanahalli,2,1305,3,1,3328000
Bommanahalli,2,1300,1,1,11500000
Bommanahalli,2,1440,2,3,6800000
Bommanahalli,2,901,2,1,3514000
Bommanahalli,2,900,2,1,4200000
Bommanahalli,2,1060,2,1,5500000
Bommanahalli,2,1020,2,1,4845000
Bommanahalli,2,1464,3,2,5600000
Bommanahalli,2,1350,2,3,8000000
Bommanahalli,2,1115,2,2,5000000
Bommanahalli,2,1175,2,2,4700000
Whitefield,2,1113,2,1,6200000
Bommanahalli,2,1325,2,2,7155000
Electronics City,2,950,2,3,3100000
Indira Nagar,2,1396,2,1,8651000
Bommanahalli,2,1050,2,2,5207000
Vijayanagar,2,1190,2,1,4998000
Bommanahalli,2,1220,2,1,5650000
Bommanahalli,2,900,2,0,2700000
Bommanahalli,2,1161,2,1,5515000
Bommanahalli,2,1175,2,1,7350000
Bommanahalli,2,1425,2,2,8000000
Bommanahalli,2,1255,2,2,6700000
Indira Nagar,2,1200,2,2,9300000
Bommanahalli,2,1033,2,2,4900000
Electronics City,2,1400,2,1,4043000
Bommanahalli,2,1485,2,2,6700000
Bommanahalli,2,1025,2,1,4450000
Bommanahalli,2,1225,2,1,5300000
Vijayanagar,2,1256,2,1,6280000
Bommanahalli,2,1100,3,2,5300000
Bommanahalli,2,1141,2,0,6200000
Bommanahalli,2,1175,2,2,4827000
Bommanahalli,2,1100,2,1,5600000
Bommanahalli,2,1460,2,1,8050000
Bommanahalli,2,1467,2,1,5500000
Vijayanagar,2,1246,2,1,6450000
Bommanahalli,2,1194,2,2,4600000
Bommanahalli,2,1358,2,1,4340000
Bommanahalli,2,1420,2,2,7500000
Bommanahalli,2,1250,2,1,6875000
Vijayanagar,2,1280,2,1,5800000
Bommanahalli,2,1209,2,1,5000000
Bommanahalli,2,1315,2,1,5480000
Bommanahalli,2,1050,2,2,5550000
Bommanahalli,2,1140,2,2,4600000
Bommanahalli,2,1100,2,2,7000000
Bommanahalli,2,1260,2,3,4032000
Bommanahalli,2,1036,2,1,5000000
Vijayanagar,2,1464,2,3,10500000
Bommanahalli,2,1234,2,2,8000000
Bommanahalli,2,1403,3,1,5500000
Bommanahalli,2,1150,2,2,4290000
Bommanahalli,2,929,2,1,4600000
Bommanahalli,2,1135,2,1,3973000
Bommanahalli,2,1405,2,2,7000000
Vijayanagar,2,1161,2,2,6408000
Bommanahalli,2,1290,2,3,7400000
Vijayanagar,2,1480,3,2,9000000
Bommanahalli,2,1350,3,0,5454000
Bommanahalli,2,1470,2,1,8864000
Bommanahalli,2,1346,2,1,6192000
Bommanahalli,2,1200,2,2,3500000
Bommanahalli,2,1340,2,2,4833000
Bommanahalli,2,918,2,2,4800000
Bommanahalli,2,1315,2,2,8500000
Bommanahalli,2,1390,2,2,6255000
Bommanahalli,2,1330,2,1,5600000
Vijayanagar,2,1420,2,2,9600000
Bommanahalli,2,1260,2,1,6000000
Bommanahalli,2,1060,2,2,4200000
Bommanahalli,2,1225,2,1,6738000
Electronics City,2,880,2,2,2900000
Bommanahalli,2,1240,2,1,6200000
Bommanahalli,2,1500,2,2,6900000
Bommanahalli,2,1243,2,1,4600000
Bommanahalli,2,1027,2,2,4400000
Bommanahalli,2,1082,2,1,5600000
Electronics City,2,1265,2,0,5693000
Bommanahalli,2,1100,2,1,3800000
Bommanahalli,2,1115,2,2,5000000
Bommanahalli,2,1070,2,1,4500000
Indira Nagar,2,1128,2,2,10500000
Bommanahalli,2,1162,2,1,5700000
Bommanahalli,2,1339,2,2,5500000
Bommanahalli,2,1192,2,2,7500000
Bommanahalli,2,1255,2,1,5232000
Bommanahalli,2,1357,2,1,11500000
Bommanahalli,2,1225,2,2,5511000
Bommanahalli,2,1093,2,2,7000000
Bommanahalli,2,1039,2,2,8000000
Vijayanagar,2,1246,2,1,6450000
Bommanahalli,2,1000,2,1,5000000
Bommanahalli,2,1035,2,1,4100000
Whitefield,2,1360,2,1,9500000
Bommanahalli,2,1117,2,2,5600000
Bommanahalli,2,1330,2,1,9250000
Electronics City,2,1128,2,1,6549000
Bommanahalli,2,1053,2,1,4500000
Bommanahalli,2,1198,2,1,7700000
Bommanahalli,2,1152,2,1,5600000
Bommanahalli,2,1397,3,3,10500000
Bommanahalli,2,883,2,1,4500000
Bommanahalli,2,1170,2,1,6250000
Bommanahalli,2,1200,2,2,4200000
Bommanahalli,2,1480,2,2,6500000
Bommanahalli,2,996,2,1,6700000
Vijayanagar,2,1500,2,2,9800000
Vijayanagar,2,1390,2,1,17500000
Bommanahalli,2,910,2,1,3050000
Bommanahalli,2,1025,2,1,4800000
Bommanahalli,2,1453,2,1,4648000
Bommanahalli,2,1281,2,1,7400000
Bommanahalli,2,1024,2,2,4200000
Whitefield,2,1254,2,2,4000000
Bommanahalli,2,1300,2,2,7500000
Bommanahalli,2,1233,2,2,4300000
Bommanahalli,2,950,2,1,6500000
Bommanahalli,2,1008,2,3,4500000
Bommanahalli,2,1265,2,1,7900000
Bommanahalli,2,1255,2,1,7768000
Vijayanagar,2,1200,2,2,4617000
Bommanahalli,2,1403,3,3,5163000
Bommanahalli,2,1475,2,2,12000000
Bommanahalli,2,1390,2,2,6047000
Bommanahalli,2,1278,2,1,5376000
Bommanahalli,2,1133,2,2,5500000
Bommanahalli,2,1170,2,1,5199000
Bommanahalli,2,1192,2,1,6000000
Bommanahalli,2,1078,2,3,6500000
Bommanahalli,2,1349,2,2,7800000
Bommanahalli,2,1314,2,2,6300000
Bommanahalli,2,1060,2,1,4870000
Bommanahalli,2,820,2,0,3900000
Bommanahalli,2,856,2,3,4000000
Bommanahalli,2,1484,3,2,5250000
Vijayanagar,2,1050,2,1,4200000
Bommanahalli,2,1384,3,2,6228000
Bommanahalli,2,1408,2,2,8500000
Bommanahalli,2,1150,2,1,4900000
Vijayanagar,2,1410,2,2,7500000
Bommanahalli,3,2292,4,1,27500000
Bommanahalli,3,2006,3,2,29700000
Bommanahalli,3,1508,3,2,7025000
Bommanahalli,2,1040,2,2,5000000
Bommanahalli,3,1535,3,1,7800000
Bommanahalli,2,1180,2,2,7500000
Bommanahalli,2,1400,2,2,7800000
Bommanahalli,3,1984,4,1,14600000
Bommanahalli,3,1960,3,3,16000000
Bommanahalli,2,1035,2,1,4500000
Whitefield,3,1700,3,2,11500000
Bommanahalli,3,1586,3,1,10000000
Bommanahalli,2,1120,2,2,5500000
Bommanahalli,2,1128,2,2,5900000
Bommanahalli,2,924,2,2,6500000
Bommanahalli,3,1600,3,2,5200000
Bommanahalli,2,1006,2,2,3500000
Vijayanagar,2,1200,2,2,5500000
Bommanahalli,2,1250,2,1,6200000
Bommanahalli,2,957,2,1,5600000
Whitefield,2,1140,2,2,4100000
Bommanahalli,2,1050,2,1,6700000
Bommanahalli,3,1565,3,2,8850000
Whitefield,2,1190,2,3,5700000
Bommanahalli,3,1559,2,2,6500000
Whitefield,2,1403,2,2,6081000
Bommanahalli,3,1542,2,3,8500000
Bommanahalli,3,1635,2,2,7800000
Bommanahalli,2,1239,2,1,5300000
Bommanahalli,2,1194,2,2,4700000
Bommanahalli,3,1596,3,1,10500000
Bommanahalli,2,1009,2,1,3834000
Bommanahalli,3,1726,3,2,8199000
Bommanahalli,3,1535,3,2,8600000
Bommanahalli,2,1300,2,1,5850000
Bommanahalli,3,1800,3,3,8000000
Bommanahalli,2,925,2,2,4800000
Bommanahalli,2,1395,2,1,6359000
Bommanahalli,2,1415,2,1,5500000
Bommanahalli,2,1419,2,2,5900000
Bommanahalli,2,1121,2,2,7800000
Bommanahalli,2,1082,2,1,4500000
Bommanahalli,2,1100,2,1,4700000
Bommanahalli,3,1606,3,3,8955000
Bommanahalli,3,1650,3,2,8800000
Bommanahalli,2,1206,2,3,7500000
Bommanahalli,2,1495,2,0,6400000
Bommanahalli,2,1210,2,1,7200000
Bommanahalli,3,1523,2,2,5340000
Whitefield,2,1232,2,2,4500000
Bommanahalli,2,1355,3,1,8387000
Bommanahalli,2,1430,2,2,5146000
Bommanahalli,2,1275,2,2,4385000
Electronics City,2,1070,2,1,5610000
Bommanahalli,2,1200,2,2,4000000
Bommanahalli,3,1610,3,1,9000000
Bommanahalli,2,1140,2,2,4300000
Bommanahalli,2,1143,2,2,3865000
Bommanahalli,3,1530,2,2,7440000
Vijayanagar,2,980,2,2,6900000
Whitefield,2,1485,3,2,6500000
Whitefield,2,1280,2,1,7500000
Bommanahalli,2,1265,2,2,8500000
Bommanahalli,2,1132,2,1,6700000
Vijayanagar,2,1262,2,2,6300000
Bommanahalli,2,940,2,1,4900000
Bommanahalli,3,1515,3,3,8800000
Bommanahalli,2,1300,3,3,15000000
Electronics City,2,890,2,2,4500000
Bommanahalli,3,1655,3,2,8606000
Bommanahalli,3,2060,3,1,14900000
Bommanahalli,3,1730,3,1,9600000
Bommanahalli,3,2195,4,2,12700000
Bommanahalli,3,1650,3,2,12500000
Bommanahalli,2,1079,2,1,3237000
Bommanahalli,2,1085,2,1,3600000
Bommanahalli,2,1075,2,1,5150000
Bommanahalli,2,1380,2,1,8000000
Bommanahalli,2,1450,3,1,6500000
Bommanahalli,2,1200,2,2,7800000
Bommanahalli,3,1639,3,1,9832000
Bommanahalli,2,1200,2,1,5400000
Vijayanagar,3,1739,3,1,11600000
Bommanahalli,2,935,2,1,3272000
Bommanahalli,2,1178,2,3,4700000
Bommanahalli,2,1375,2,1,5000000
Bommanahalli,2,1065,2,1,3300000
Vijayanagar,2,1450,2,1,5075000
Bommanahalli,2,999,2,3,4500000
Vijayanagar,2,4400,3,2,47500000
Bommanahalli,2,1100,2,2,4000000
Bommanahalli,3,1835,2,3,15500000
Bommanahalli,3,2090,4,0,9510000
Bommanahalli,3,1519,3,1,9300000
Bommanahalli,2,1267,3,2,5600000
Bommanahalli,2,1150,2,3,7220000
Bommanahalli,2,1146,2,1,7000000
Bommanahalli,3,1550,3,3,6500000
Bommanahalli,2,850,1,1,1850000
Bommanahalli,3,2200,3,2,18700000
Bommanahalli,3,1610,3,2,7400000
Bommanahalli,2,921,2,2,4000000
Bommanahalli,3,1700,3,3,11000000
Bommanahalli,2,1020,2,2,3500000
Bommanahalli,2,1090,2,3,5200000
Bommanahalli,2,1027,2,2,4400000
Bommanahalli,2,1185,2,2,4210000
Bommanahalli,2,850,2,1,2500000
Bommanahalli,2,1197,2,1,8400000
Bommanahalli,2,920,2,2,3955000
Bommanahalli,2,1105,2,1,6500000
Vijayanagar,3,1850,3,3,10000000
Bommanahalli,2,1300,3,1,6400000
Bommanahalli,3,1595,3,2,7600000
Bommanahalli,2,1300,2,3,6900000
Bommanahalli,2,1215,2,0,5000000
Bommanahalli,2,900,2,1,4600000
Bommanahalli,2,1145,2,3,5840000
Bommanahalli,2,1093,2,2,6500000
Bommanahalli,2,1213,2,2,4139000
Bommanahalli,3,1654,3,2,10000000
Bommanahalli,2,1105,2,1,5248000
Bommanahalli,3,1611,2,2,6600000
Bommanahalli,2,1367,2,2,6200000
Bommanahalli,2,1010,2,1,5100000
Vijayanagar,3,1535,3,1,9500000
Bommanahalli,2,982,2,1,4765000
Bommanahalli,3,1700,2,2,15000000
Whitefield,2,1330,2,1,7100000
Bommanahalli,2,1475,2,2,5899000
Bommanahalli,2,1410,3,1,6500000
Bommanahalli,3,1614,3,2,9500000
Bommanahalli,2,1363,2,2,6800000
Bommanahalli,2,1015,2,1,4500000
Bommanahalli,2,1156,2,2,4600000
Bommanahalli,2,1100,2,1,6270000
Bommanahalli,2,1455,3,2,4600000
Bommanahalli,2,930,2,1,4500000
Vijayanagar,3,1650,2,2,8000000
Bommanahalli,3,1890,4,3,12700000
Vijayanagar,3,2197,4,3,28000000
Bommanahalli,2,1240,2,2,4600000
Bommanahalli,2,1440,2,2,9800000
Bommanahalli,3,1693,3,3,5739000
Bommanahalli,2,1445,3,2,6500000
Bommanahalli,2,900,1,0,4500000
Bommanahalli,2,1030,2,1,5500000
Bommanahalli,2,1381,2,2,5248000
Bommanahalli,2,1100,2,1,6000000
Bommanahalli,3,1575,3,2,6639000
Bommanahalli,2,1200,2,2,4320000
Bommanahalli,2,1080,2,2,8000000
Vijayanagar,2,1360,2,2,8500000
Indira Nagar,3,1865,3,1,12400000
Bommanahalli,2,1157,2,1,7500000
Whitefield,2,1405,2,1,7800000
Bommanahalli,2,1160,2,2,4408000
Bommanahalli,3,1790,3,2,12700000
Electronics City,2,1128,2,1,6565000
Bommanahalli,2,1180,2,1,7000000
Vijayanagar,2,1450,2,2,8500000
Bommanahalli,2,1050,2,2,5350000
Bommanahalli,2,1125,2,2,4000000
Vijayanagar,2,1246,2,1,6800000
Bommanahalli,2,1372,2,1,6100000
Bommanahalli,2,1330,2,1,5600000
Bommanahalli,2,1300,2,3,5500000
Bommanahalli,2,1065,2,1,3500000
Bommanahalli,2,1050,2,1,4500000
Bommanahalli,2,1250,3,3,3950000
Electronics City,2,865,2,0,4200000
Bommanahalli,2,1200,2,2,4400000
Bommanahalli,3,1756,3,3,10000000
Vijayanagar,2,1207,2,2,6300000
Bommanahalli,3,1765,3,1,12500000
Electronics City,2,1130,2,1,3264000
Bommanahalli,3,1532,3,3,9200000
Bommanahalli,3,1650,3,0,11000000
Bommanahalli,2,804,2,1,6909000
Bommanahalli,2,1200,2,2,7500000
Bommanahalli,2,1197,2,2,5000000
Bommanahalli,2,1200,2,2,6600000
Bommanahalli,2,1385,2,2,4848000
Bommanahalli,2,1010,2,3,14800000
Whitefield,3,2225,3,3,11500000
Bommanahalli,2,1180,2,2,4800000
Bommanahalli,3,1525,2,3,12200000
Vijayanagar,2,1100,2,2,3150000
Bommanahalli,2,1435,3,3,7000000
Bommanahalli,2,1200,2,2,5000000
Whitefield,2,1272,2,1,9505000
Whitefield,2,1205,2,1,3900000
Bommanahalli,2,980,2,1,4000000
Bommanahalli,2,1225,2,2,4686000
Whitefield,3,1541,3,1,7200000
Bommanahalli,3,1610,2,2,11100000
Bommanahalli,3,1694,2,2,12500000
Bommanahalli,2,950,2,1,3900000
Bommanahalli,3,1560,2,3,6600000
Bommanahalli,2,1201,2,2,2700000
Bommanahalli,3,1785,3,2,7500000
Bommanahalli,2,1258,2,1,6353000
Electronics City,2,910,2,2,4200000
Bommanahalli,2,1297,2,2,11200000
Bommanahalli,2,1291,2,3,4900000
Bommanahalli,2,1070,2,2,4200000
Bommanahalli,2,1012,2,1,6650000
Bommanahalli,2,1260,2,3,5760000
Bommanahalli,2,1282,2,2,7200000
Bommanahalli,3,1843,3,2,9215000
Bommanahalli,2,1330,2,1,8698000
Bommanahalli,2,1400,2,1,7300000
Whitefield,2,1192,2,1,7100000
Vijayanagar,2,1000,2,1,13000000
Bommanahalli,2,1297,2,2,10300000
Vijayanagar,2,1490,3,2,10000000
Bommanahalli,2,1373,3,2,7200000
Vijayanagar,2,1035,2,1,4139000
Bommanahalli,2,1010,2,1,4039000
Bommanahalli,2,1195,2,1,4200000
Bommanahalli,3,1750,3,2,9500000
Bommanahalli,2,1052,2,2,5000000
Bommanahalli,2,1180,2,2,5800000
Bommanahalli,3,2100,3,2,7300000
Bommanahalli,2,1128,2,2,3824000
Bommanahalli,2,1120,2,2,3360000
Bommanahalli,2,1300,2,1,6000000
Bommanahalli,2,1090,2,2,3269000
Bommanahalli,2,1330,2,2,4655000
Bommanahalli,2,1427,2,1,8063000
Bommanahalli,2,1294,2,2,4800000
Bommanahalli,3,1580,3,2,7500000
Bommanahalli,2,1194,2,2,4700000
Bommanahalli,2,900,2,1,4600000
Vijayanagar,2,1310,2,3,5000000
Bommanahalli,2,900,2,1,4600000
Vijayanagar,3,2400,1,1,15000000
Bommanahalli,2,1290,2,3,10000000
Bommanahalli,2,1390,3,1,12000000
Bommanahalli,2,845,2,1,3300000
Bommanahalli,3,1537,3,3,12000000
Bommanahalli,2,1135,2,2,6800000
Bommanahalli,3,1512,3,2,7577000
Bommanahalli,2,900,2,1,5500000
Bommanahalli,2,1230,3,3,5400000
Bommanahalli,2,1378,2,3,4233000
Whitefield,2,1277,2,1,6130000
Bommanahalli,3,1985,4,2,18900000
Bommanahalli,2,1210,2,2,6200000
Bommanahalli,2,890,2,1,4000000
Bommanahalli,2,1464,3,2,5600000
Electronics City,2,975,2,2,3750000
Bommanahalli,3,1690,3,1,12500000
Bommanahalli,2,1063,2,1,3189000
Bommanahalli,3,2200,4,2,35000000
Bommanahalli,3,1600,3,0,8000000
Bommanahalli,2,1250,3,1,3950000
Bommanahalli,2,1390,3,2,6800000
Whitefield,2,1185,2,2,4000000
Bommanahalli,2,1219,2,2,4800000
Bommanahalli,3,1564,2,1,9200000
Bommanahalli,2,1100,2,2,3710000
Bommanahalli,2,1300,2,0,6000000
Bommanahalli,2,1482,2,1,9200000
Bommanahalli,2,1200,2,3,5300000
Bommanahalli,2,1200,2,0,5800000
Bommanahalli,2,1469,3,1,8900000
Electronics City,2,1160,2,1,5200000
Bommanahalli,2,1205,2,1,7850000
Bommanahalli,3,1550,2,3,5200000
Bommanahalli,3,1745,3,2,12500000
Vijayanagar,2,1028,2,1,4200000
Bommanahalli,3,1700,3,1,18000000
Bommanahalli,2,1200,2,1,3400000
Bommanahalli,2,1100,2,2,5000000
Bommanahalli,2,1270,2,2,6800000
Electronics City,2,1266,2,2,5900000
Bommanahalli,2,1060,2,1,6200000
Bommanahalli,3,1552,2,1,5100000
Bommanahalli,2,1080,2,2,4320000
Bommanahalli,2,1300,2,2,6500000
Electronics City,2,920,2,2,3300000
Bommanahalli,2,1310,2,1,5000000
Bommanahalli,3,1650,2,1,7500000
Bommanahalli,3,1515,3,3,9393000
Bommanahalli,2,1157,2,1,5380000
Vijayanagar,3,2400,5,1,8500000
Bommanahalli,3,2200,2,1,16200000
Bommanahalli,2,1243,2,1,5800000
Bommanahalli,3,1530,2,2,7439000
Bommanahalli,3,2070,3,3,16200000
Bommanahalli,3,1815,3,2,8200000
Electronics City,2,1000,2,1,2888000
Vijayanagar,2,982,2,2,2455000
Bommanahalli,2,1232,2,2,8900000
Bommanahalli,2,1282,3,2,17800000
Bommanahalli,2,1181,2,0,5500000
Bommanahalli,2,1075,2,1,4500000
Bommanahalli,3,1616,3,1,7500000
Whitefield,2,1306,3,2,5465000
